date,position,strategy_ret,strategy_nav
2023-08-03,1.0,-0.009534883720930254,1.2074813231357266
2023-08-04,1.0,-0.013383423338811928,1.1913210894144926
2023-08-07,1.0,0.00017848643503093342,1.1915337240687194
2023-08-08,1.0,-0.006602819582416264,1.1836662418623292
2023-08-09,1.0,-0.014371257485029987,1.1666554695241877
2023-08-10,1.0,-0.0006075334143378353,1.1659466873434319
2023-08-11,1.0,-0.0028571428571428914,1.1626154110938791
2023-08-14,1.0,-0.00627933914527834,1.1553149546320935
2023-08-15,1.0,0.00030674846625777796,1.1556693457224716
2023-08-16,1.0,0.0017172646427476845,1.1576539358285882
2023-08-17,1.0,-0.0007959346109104315,1.1567325189936055
2023-08-18,1.0,0.0194852941176471,1.1792717923416427
2023-08-21,1.0,0.00036062026685890203,1.1796970616500961
2023-08-22,1.0,0.003965392934390799,1.184375024043085
2023-08-23,1.0,0.010771992818671361,1.1971331032966908
2023-08-24,1.0,0.00219064535227953,1.1997555973654876
2023-08-25,1.0,-0.007620960595498327,1.1906123072337367
2023-08-28,1.0,0.008989165376830588,1.2013149181631506
2023-08-29,1.0,-0.014278128503156573,1.1841623893888582
2023-08-30,1.0,-0.012689291913569156,1.1691362071568334
2023-08-31,1.0,0.002121855107608317,1.1716169447894789
2023-09-01,1.0,-0.005384150030248058,1.1653087833807514
2023-09-04,1.0,0.0326622468219695,1.2033703864873424
2023-09-05,1.0,0.0012957945576628216,1.2049297072850054
2023-09-06,1.0,0.0117647058823529,1.219105350900123
2023-09-07,1.0,-0.010406976744186003,1.2064181498645927
2023-09-08,1.0,-0.01363022149109927,1.1899744032710562
2023-09-11,1.0,-0.011555184942521834,1.1762240289643922
2023-09-12,1.0,0.0030129557095510684,1.1797679398681715
2023-09-13,1.0,-0.020787023130069082,1.155244076414018
2023-09-14,1.0,-0.011043622308117063,1.142485997160412
2023-09-15,1.0,0.011787331720330085,1.1559528585947738
2023-09-18,1.0,-0.006070267950211594,1.1489359150052905
2023-09-19,1.0,0.0009253547193091016,1.1499990882764244
2023-09-20,1.0,-0.0046224961479198745,1.1446832219207552
2023-09-21,1.0,0.0047678018575851855,1.1501408447125756
2023-09-22,1.0,-0.03956369014605288,1.1046370287080478
2023-09-25,1.0,0.00930381777350009,1.114914370329008
2023-09-26,1.0,-0.003877940241576616,1.1105907990263972
2023-09-27,1.0,-0.012062033314187204,1.097194815810111
2023-09-28,0.0,-0.021188630490956095,1.073946760281318
2023-10-09,0.0,-0.007689757127771879,1.0656883705265972
2023-10-10,0.0,0.0,1.0656883705265972
2023-10-11,0.0,-0.0,1.0656883705265972
2023-10-12,0.0,-0.0,1.0656883705265972
2023-10-13,0.0,0.0,1.0656883705265972
2023-10-16,0.0,-0.0,1.0656883705265972
2023-10-17,0.0,0.0,1.0656883705265972
2023-10-18,0.0,-0.0,1.0656883705265972
2023-10-19,0.0,0.0,1.0656883705265972
2023-10-20,0.0,-0.0,1.0656883705265972
2023-10-23,0.0,-0.0,1.0656883705265972
2023-10-24,0.0,0.0,1.0656883705265972
2023-10-25,-1.0,-0.0,1.0656883705265972
2023-10-26,-1.0,-0.0001,1.0655818016895444
2023-10-27,-1.0,0.01663735966454749,1.08331026937625
2023-10-30,-1.0,-0.009284731774415356,1.073252024096622
2023-10-31,-1.0,-0.0037478705281090985,1.0692296144662767
2023-11-01,-1.0,0.026001357773251854,1.0970310362137705
2023-11-02,-1.0,0.014637206384609969,1.113088505901154
2023-11-03,-1.0,-0.0014147273113107595,1.1115137891919495
2023-11-06,-1.0,-0.008900190718372558,1.1016211044820403
2023-11-07,-1.0,-0.0019603724707695225,1.099461516795595
2023-11-08,-1.0,0.0184473481936972,1.1197436662214937
2023-11-09,-1.0,0.0009966540898412868,1.120859663326007
2023-11-10,-1.0,-0.00798118720159624,1.111913872526284
2023-11-13,-1.0,0.01654294803817602,1.1303082059424134
2023-11-14,-1.0,0.004888217957012442,1.1358333988116596
2023-11-15,-1.0,-0.0020226829444485173,1.1335359679681483
2023-11-16,-1.0,-0.0036767356354985292,1.1293682558806004
2023-11-17,-1.0,0.008763108748742976,1.1392650327242604
2023-11-20,-1.0,0.016086956521739082,1.1575923397724333
2023-11-21,-1.0,0.006112829577257339,1.1646685044654008
2023-11-22,-1.0,0.018080770655798495,1.1857266085846716
2023-11-23,-1.0,0.027997886951928175,1.2189244481277184
2023-11-24,-1.0,0.007298136645962683,1.227820325311259
2023-11-27,-1.0,0.002815579540122015,1.2312773510981514
2023-11-28,0.0,0.03215686274509799,1.2708713678785626
