date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2022-10-27,0.08533959212422476,0.08049182534088033,0.05554362137329559,0.08560093299021701,0.06521184586071936,0.13021338472080762,0.13843490659703345,0.06647461452269385,0.12738029482458588,0.10048723433070117,0.06482174731484096
2022-10-28,0.08517486321992253,0.08051958601724851,0.055553642848362346,0.08541478318939999,0.0652372135147801,0.12946167536585906,0.13918566751659353,0.06648980753011208,0.12730446642208312,0.10052820853073997,0.06513008584489868
2022-10-31,0.08536806690180326,0.08074634766423493,0.05571523249245098,0.08544085380726366,0.06545811392876749,0.12868512144462216,0.1401630530634685,0.06670030689648714,0.12555989635908543,0.10081454116936886,0.06534846627244774
2022-11-01,0.085155977125926,0.08097030827229779,0.0556351026286977,0.08528297988344516,0.0664076724863447,0.12766514287169062,0.1406650479496211,0.06728933879076723,0.12430659691211839,0.10108054121173518,0.06554129186735612
2022-11-02,0.08518776947316588,0.08136952175997049,0.05539766073243268,0.08427255024004156,0.06671613485888198,0.12772374874426765,0.14224746153454923,0.06744735490187001,0.12342834983615607,0.10007447268859544,0.06613497523006884
2022-11-03,0.08530825058144209,0.08299918032541104,0.05699202017132316,0.07637400243784542,0.06649883995104623,0.11701764226460337,0.14569372158850566,0.07190298285524009,0.12906784029147345,0.10030527710016274,0.0678402424329467
2022-11-04,0.08473024757123067,0.08198588395799397,0.05675499354595578,0.07648453327582345,0.06626866934931222,0.1185414271627231,0.1477005390634089,0.07187820844481507,0.1283586259596961,0.09922423206670633,0.06807263960233423
2022-11-07,0.08423187608670535,0.08168013718605419,0.05652274560652161,0.07620840109106859,0.06690448393152518,0.12080240247662191,0.14743247624355071,0.07159948257666099,0.12791159120003454,0.0988212807646884,0.06788512283656864
2022-11-08,0.08184888408260693,0.0828556722968524,0.05614776273620789,0.07705174458718425,0.06587268035984005,0.12059414132013092,0.15090434781076476,0.07227921663542651,0.12749165101920645,0.09596016617566804,0.06899373297611179
2022-11-09,0.08199576863939195,0.0825164940896983,0.055978493633052365,0.07646409204953747,0.06682749189568965,0.12005248600896136,0.15044972150070504,0.07243572870108747,0.12695046506253718,0.09591684850988784,0.07041240990945144
2022-11-10,0.08163554880847622,0.08236923325398303,0.05581728821663508,0.07606979236216306,0.06760960122248277,0.11889830535017772,0.15047275517471842,0.07247220581055121,0.12836454473195713,0.09558784756217917,0.07070287750667621
2022-11-11,0.0814443436464718,0.08209438493477789,0.055921651657362376,0.07577714901984854,0.06735236670192032,0.119283880833359,0.1499678313545411,0.07216992515654252,0.12868912724833,0.09541727623250792,0.07188206321433857
2022-11-14,0.08147276974919329,0.082124385638663,0.05598460123611203,0.07575667503318871,0.06738072701054015,0.11923608445631856,0.15148139469038516,0.07220853429186842,0.12814876293977856,0.09432588447546834,0.07188018047848373
2022-11-15,0.08108320208301714,0.08176908479857838,0.05587804675272567,0.0751962927759623,0.06614873498463282,0.11875140294520287,0.15649061659782432,0.07195367069731613,0.1274541699673834,0.09172677503341899,0.07354800336393803
2022-11-16,0.08060100212198924,0.08169108465088075,0.055816969040988,0.07504565148630944,0.06630664305138854,0.11864458284500858,0.15623898935330063,0.07183978929406354,0.12881304873030552,0.09142469029835247,0.0735775491274133
2022-11-17,0.08038320812119062,0.08154187546537246,0.05560826919047927,0.07469357041933077,0.06710559579497835,0.11835511908566887,0.1555672054045988,0.07149479983237482,0.13005847903590334,0.09136227416954129,0.07382960348056142
2022-11-18,0.08025333741598067,0.08144998307381711,0.0555446187696194,0.07455208395359475,0.06692540779905631,0.11823634280334606,0.15551551160015067,0.0712591544954927,0.12980092889721814,0.09086971651622491,0.07559291467549918
2022-11-21,0.07994527623280562,0.08140126180648966,0.05550788011918206,0.07433897476832599,0.06654981681989168,0.11793517388166629,0.15512688434282532,0.07110741462269236,0.1310903337367048,0.09087645252552527,0.07612053114389096
2022-11-22,0.07956107999073414,0.08131132779745252,0.05543004635388737,0.0742266705000389,0.06662401945379201,0.11792741063343991,0.15561695459626662,0.07106196792784801,0.13136411387445637,0.09076632084747631,0.07611008802460781
2022-11-23,0.07931687972451061,0.08151821999262142,0.05546728214470085,0.0743279077497315,0.06588830100870738,0.11785807265579074,0.15604633807899032,0.07122044111692301,0.13194375024409627,0.09022094554545212,0.07619186173847582
2022-11-24,0.07925950408623848,0.08147959962334911,0.055232968715237,0.07424048926551911,0.06594177698005181,0.11605768930066762,0.15619573070287893,0.07135584917816651,0.13281724650306645,0.0902783911963045,0.07714075444852043
2022-11-25,0.07882902706118508,0.0811697254166323,0.05503192795416412,0.07403544972756766,0.06580852065970877,0.11561941691176911,0.15843355646735435,0.07108087785392662,0.13240008386802796,0.08982549354891047,0.07776592053075365
2022-11-28,0.07923449072931235,0.0816036892815429,0.05528936737541465,0.07440425380267104,0.06640645762429334,0.11620999196573552,0.15348238377964424,0.07158734052079122,0.1330630074246633,0.09018637618212628,0.07853264131380504
2022-11-29,0.0791610546611235,0.08181490727116944,0.05523400468494188,0.07435045729166853,0.06742906103900129,0.11614299961218058,0.15137712561611152,0.07152310918287225,0.1337679741459173,0.08965806286204742,0.07954124363296626
2022-11-30,0.07836656169968467,0.08211181966886615,0.054889025614637765,0.0737143621562884,0.07130345367403201,0.11547504554683363,0.15023563799268616,0.07151119946856972,0.1338277411712296,0.08916953117864741,0.07939562182852447
2022-12-01,0.07829023099751008,0.08236593029364106,0.054813294354379934,0.07344194589864501,0.07165282593238807,0.11541556068844469,0.15057437925352224,0.07150017569417719,0.1336701354882136,0.08872569499271579,0.07954982640636227
2022-12-02,0.07822444335091151,0.08251730424990159,0.05482069456146861,0.07332327528073465,0.07159562002533824,0.1154084531536924,0.1504995703552883,0.07151898823779142,0.13375681407012113,0.0886743447272929,0.07966049198745934
2022-12-05,0.07818097286050953,0.08255504040390801,0.05471632056782875,0.07313100395548897,0.07153408227360478,0.11537968012212317,0.15045082183558137,0.07197278476077791,0.13378521436702542,0.08838064254219438,0.0799134363109577
2022-12-06,0.07816460034706567,0.08258401432786827,0.05471149351900648,0.07311281380794268,0.07154384973643263,0.11529340122926009,0.15045268827125993,0.07199052207476342,0.13347263755546335,0.08833009331547487,0.08034388581546267
2022-12-07,0.07989594749002905,0.08454944705654714,0.05591176867361095,0.0736669494246223,0.07257521572769729,0.11783157349675528,0.15365613768427236,0.07360201846350496,0.13640258378075035,0.08986597651702255,0.06204238168518778
2022-12-08,0.0796703525618997,0.0867499561477123,0.055798510749825954,0.07359517598480741,0.07071095861707434,0.11791693623635995,0.153756758456452,0.07393593199621278,0.13640306697803456,0.08953009755692175,0.061932254714699264
2022-12-09,0.079607442125682,0.08675662154217488,0.05577907644980958,0.07338671587346833,0.07052355579705238,0.11792782217441551,0.15421890236461328,0.0740669408458309,0.1363982921432845,0.08948380854640578,0.06185082213726279
2022-12-12,0.07985284483952282,0.08744444905479173,0.05617732934514027,0.0659889486910699,0.0702218932291011,0.11884579814439225,0.15548519196566737,0.07467866902879258,0.13824839581269124,0.09005183919747044,0.06300464069136014
2022-12-13,0.07986402738104986,0.0874899717781101,0.05616260565675809,0.06597043462684934,0.07006619941742168,0.11880417646560415,0.1560122293816614,0.0744830010841447,0.13821471202557514,0.09002344358862496,0.0629091985942007
2022-12-14,0.07915516279509079,0.08636443476860284,0.055881010388807884,0.06563072078305256,0.06954607964239908,0.11807738333425029,0.15518610184744944,0.07500511675919073,0.14358807670479065,0.08972792484799137,0.06183798812837434
2022-12-15,0.07868754599798478,0.08610904501570861,0.055210471510385224,0.0648319778344415,0.06810212674649525,0.1166365301179052,0.15567561930612173,0.07629675216381028,0.14179806124688096,0.09354871258233843,0.06310315747792802
