date,CU,AL,ZN,NI
2016-03-17,0.343268144737004,0.2484154972993625,0.19510852321872799,0.2132078347449056
2016-03-18,0.343074239689457,0.24808798644470334,0.19581852441003184,0.21301924945580789
2016-03-21,0.3452314466664755,0.24710339186879304,0.19522606524933114,0.21243909621540033
2016-03-22,0.3454230029342802,0.2467058941043741,0.195379636819002,0.21249146614234377
2016-03-23,0.3473959334998649,0.24532211038632112,0.1955428705579592,0.21173908555585486
2016-03-24,0.34568403972256484,0.24384237783467447,0.19980927902384593,0.2106643034189147
2016-03-25,0.35344909656657386,0.24063782349355273,0.19821963912880372,0.2076934408110697
2016-03-28,0.3537293748292506,0.24036213238209989,0.19865326295628333,0.20725522983236622
2016-03-29,0.35521573649220745,0.23782057435761855,0.19924105409072038,0.20772263505945368
2016-03-30,0.35454800846729384,0.23789087762263397,0.20026375400344965,0.20729735990662268
2016-03-31,0.36024731361323353,0.23554070392591275,0.1995234892791568,0.20468849318169702
2016-04-01,0.3581239345824955,0.23517260139593937,0.20197629677497872,0.20472716724658652
2016-04-05,0.3670745420651923,0.22985711227027442,0.20297756801887729,0.20009077764565603
2016-04-06,0.36509278843833787,0.23250339638836975,0.20357724007427824,0.1988265750990142
2016-04-07,0.3540173646078097,0.22782746384931624,0.22776863435051226,0.19038653719236184
2016-04-08,0.35492289045498676,0.2280831261767684,0.22615828069369692,0.1908357026745479
2016-04-11,0.35501376747531643,0.2295636573360913,0.224690087862118,0.19073248732647435
2016-04-12,0.3529087492332965,0.2308803603180671,0.22498040305976683,0.1912304873888696
2016-04-13,0.35279487990622704,0.23133205447512287,0.22475254739780864,0.19112051822084158
2016-04-14,0.3541765023214838,0.23279251419576114,0.22074707105332525,0.19228391242942985
2016-04-15,0.35612209995344596,0.23915593029971552,0.20753179831576485,0.1971901714310736
2016-04-18,0.356497086899097,0.23977938698361273,0.20627814170292746,0.19744538441436282
2016-04-19,0.354936378129968,0.24235850087525507,0.20559984510175686,0.1971052758930201
2016-04-20,0.3565556990450343,0.2435461165242373,0.20194503172933445,0.19795315270139402
2016-04-21,0.35540388887055635,0.24531930532008792,0.20162208329864306,0.19765472251071267
2016-04-22,0.3533394574938164,0.24682569804023533,0.20191596739706974,0.19791887706887867
2016-04-25,0.3512729084825099,0.24520675252892293,0.2027581320736754,0.2007622069148917
2016-04-26,0.35128897722343694,0.2466787428728903,0.19966262307552396,0.20236965682814886
2016-04-27,0.35109157015364084,0.24707342003878133,0.19955589624813888,0.2022791135594389
2016-04-28,0.347863528655796,0.24853705422899952,0.19993599750367938,0.2036634196115252
2016-04-29,0.3477075830447344,0.24869897494605417,0.19982601276561826,0.2037674292435933
2016-05-03,0.3469156964968516,0.24727534285184538,0.20091132907467446,0.20489763157662857
2016-05-04,0.34347407862088053,0.2518516617865051,0.1981846151783336,0.20648964441428078
2016-05-05,0.343419585501289,0.25275948995861514,0.19917325860022192,0.20464766593987402
2016-05-06,0.3410108596801164,0.253491390696275,0.19901257473714823,0.20648517488646032
2016-05-09,0.339557041194046,0.254130185256535,0.19959508612148072,0.20671768742793817
2016-05-10,0.33625645326042786,0.25983093237972127,0.20068733364572922,0.20322528071412174
2016-05-11,0.3306701651432006,0.2621972180275613,0.20437534111569494,0.20275727571354316
2016-05-12,0.3315355708146983,0.2608934737261155,0.20444680415699643,0.20312415130218986
2016-05-13,0.3335685469966631,0.2621176344721623,0.20017677143801052,0.2041370470931641
2016-05-16,0.3341780867352929,0.26217666621876523,0.19938828442447137,0.20425696262147053
