date,TA,RU,V
2020-12-04,0.5660250787934272,0.15422654608047556,0.2797483751260973
2020-12-07,0.5654585627199322,0.15450533325458843,0.28003610402547935
2020-12-08,0.5613442703616438,0.1556421838434636,0.2830135457948925
2020-12-09,0.5593376424061325,0.15642910004876184,0.28423325754510564
2020-12-10,0.5593579608108807,0.15626774645526653,0.28437429273385273
2020-12-11,0.5582469507822989,0.15729808581120794,0.2844549634064931
2020-12-14,0.5584063884265902,0.1576068109556024,0.28398680061780746
2020-12-15,0.5573539203898126,0.15818818580431424,0.28445789380587316
2020-12-16,0.5527716708412415,0.1627249108523611,0.28450341830639736
2020-12-17,0.5510889420380426,0.16285107317573913,0.28605998478621825
2020-12-18,0.5515172081290745,0.16259871329668776,0.2858840785742377
2020-12-21,0.5492499501653998,0.16341441142440685,0.2873356384101934
2020-12-22,0.5484255519230942,0.16370686582151087,0.287867582255395
2020-12-23,0.5468346971444104,0.16454647854960675,0.28861882430598296
2020-12-24,0.5471466820182728,0.16398438333398385,0.2888689346477433
2020-12-25,0.5471297553162311,0.16392932298036994,0.288940921703399
2020-12-28,0.5471433896484512,0.1639003386071529,0.28895627174439587
2020-12-29,0.5456768122993622,0.16392165442093048,0.29040153327970747
2020-12-30,0.5439443402511163,0.16453756159743418,0.2915180981514495
2020-12-31,0.5429658471622104,0.16457236097886352,0.2924617918589261
2021-01-04,0.5413270709878532,0.1638370037859888,0.29483592522615804
2021-01-05,0.5391329107322245,0.16430735993103443,0.2965597293367412
2021-01-06,0.5252716100936113,0.16887756600846787,0.3058508238979208
2021-01-07,0.525970865906588,0.16944257253440392,0.304586561559008
2021-01-08,0.5176075989487285,0.1693142044183725,0.3130781966328989
2021-01-11,0.48650303494034774,0.1792944206322017,0.3342025444274505
2021-01-12,0.4853787697466612,0.1792403857163954,0.33538084453694333
2021-01-13,0.44923203522287053,0.19077155911474136,0.3599964056623881
2021-01-14,0.44026259727501144,0.19410909315109837,0.3656283095738902
2021-01-15,0.4350223526504458,0.19577590187254365,0.36920174547701046
2021-01-18,0.4343663651776086,0.19668688700183692,0.36894674782055453
2021-01-19,0.4335871363223709,0.19566941967935134,0.3707434439982777
2021-01-20,0.42850887572746493,0.19818148949531075,0.3733096347772244
2021-01-21,0.4250102467814168,0.19675505040818012,0.37823470281040306
2021-01-22,0.4235393032948563,0.1961884443148077,0.380272252390336
2021-01-25,0.4251459855582542,0.1975610010741129,0.3772930133676329
2021-01-26,0.4130557647214954,0.20192602215146277,0.3850182131270419
2021-01-27,0.4099098513910872,0.20246181564341809,0.38762833296549465
2021-01-28,0.3920375386539605,0.2373340361126434,0.37062842523339606
2021-01-29,0.38895303859623925,0.2352165236734231,0.37583043773033764
2021-02-01,0.38890755387666,0.23548976856626969,0.3756026775570703
2021-02-02,0.3629916480761304,0.2434709408491539,0.3935374110747157
2021-02-03,0.3519126071392019,0.2427808482855223,0.40530654457527576
2021-02-04,0.35086263710206406,0.24244516849846373,0.40669219439947224
2021-02-05,0.34675517457167604,0.24141175402922302,0.4118330713991009
2021-02-08,0.34523421981590563,0.2409777678743556,0.41378801230973883
2021-02-09,0.34484345898641533,0.24052966527241382,0.4146268757411709
2021-02-10,0.3444566789620282,0.2408420854575819,0.41470123558038985
2021-02-18,0.34362748407751886,0.2413168890429562,0.415055626879525
2021-02-19,0.32990775021043395,0.24305800480641881,0.42703424498314735
2021-02-22,0.32817464645106015,0.24186211968468188,0.42996323386425794
2021-02-23,0.32846076771806143,0.24081760463644244,0.4307216276454961
2021-02-24,0.31971843313103226,0.24390224043120162,0.4363793264377661
2021-02-25,0.3140907899162053,0.24484361253923564,0.44106559754455904
2021-02-26,0.3035572805538785,0.25260851714464533,0.4438342023014762
2021-03-01,0.3004896127596633,0.25209742996168344,0.4474129572786533
2021-03-02,0.2968095587291855,0.249379450508263,0.45381099076255155
2021-03-03,0.2963943588272706,0.24917428790748078,0.4544313532652486
2021-03-04,0.28985692711977995,0.2513110281895618,0.4588320446906583
2021-03-05,0.2893743538702022,0.2513528327791698,0.459272813350628
2021-03-08,0.28938625374532184,0.2513307867791982,0.4592829594754799
2021-03-09,0.2871258149146626,0.25204970235101565,0.4608244827343217
2021-03-10,0.2861857756083462,0.2536672438336673,0.4601469805579865
2021-03-11,0.2808356789551868,0.25489340876766636,0.46427091227714695
2021-03-12,0.27338946508934847,0.258077689714156,0.4685328451964956
2021-03-15,0.271082177699053,0.25798722061293655,0.47093060168801054
2021-03-16,0.2694426459894039,0.2624677490533912,0.46808960495720503
2021-03-17,0.2672655761524138,0.261677922520285,0.4710565013273013
2021-03-18,0.2666453381871808,0.26225599790036075,0.4710986639124585
2021-03-19,0.2643052224062439,0.2613464393430248,0.47434833825073125
2021-03-22,0.2644062207851776,0.2614574204653762,0.4741363587494463
2021-03-23,0.2539033140546024,0.2642283506187105,0.4818683353266871
2021-03-24,0.2529511220430872,0.2637667402245893,0.4832821377323236
2021-03-25,0.25371077203141235,0.2650414665895233,0.48124776137906433
2021-03-26,0.2534077273653154,0.26456232519489753,0.4820299474397871
2021-03-29,0.2525067943781193,0.264001158701245,0.48349204692063574
2021-03-30,0.2533347956257935,0.2643066303736503,0.4823585740005562
2021-03-31,0.249681741514711,0.26040890005612055,0.4899093584291685
2021-04-01,0.2520926306892749,0.26365197999157186,0.4842553893191533
2021-04-02,0.25332277526457714,0.26192415593507057,0.4847530688003524
2021-04-06,0.25714925719470827,0.26580208762350266,0.4770486551817892
2021-04-07,0.2583863084509168,0.26325390631300166,0.47835978523608147
2021-04-08,0.2561743659249017,0.26566393552430223,0.47816169855079604
2021-04-09,0.2541095850224785,0.2679448388840555,0.47794557609346594
2021-04-12,0.2542604456296801,0.2649311067388848,0.4808084476314351
2021-04-13,0.2558514066618203,0.26673223258109263,0.477416360757087
2021-04-14,0.2633543258606171,0.2697315959014185,0.4669140782379645
2021-04-15,0.258151293893641,0.2848997240598283,0.4569489820465307
2021-04-16,0.25732564810262015,0.2890218459398785,0.4536525059575014
