date,RB,I,J,JM
2019-12-04,0.2620361772345247,0.10177536705208752,0.25826937416076184,0.37791908155262605
2019-12-05,0.26163977922022624,0.10171156497523487,0.2592173331336908,0.3774313226708481
2019-12-06,0.2665835178200988,0.09778867267590116,0.27746555062187217,0.3581622588821279
2019-12-09,0.2584610166214604,0.09141771662996986,0.3082106532337727,0.34191061351479707
2019-12-10,0.2553505382326826,0.09020319111120503,0.31834167324013757,0.3361045974159748
2019-12-11,0.254193041198893,0.08797611943005908,0.32849429816129977,0.3293365412097482
2019-12-12,0.2545402889167765,0.08696372489751238,0.33309037693246507,0.3254056092532461
2019-12-13,0.2566580054797478,0.08779298629449453,0.3299518749120551,0.3255971333137026
2019-12-16,0.2569854165092063,0.08790111548377905,0.32979289243921567,0.325320575567799
2019-12-17,0.25762114402417835,0.08845241651558794,0.3294480585079055,0.3244783809523283
2019-12-18,0.25938962668107357,0.08899085712216927,0.3305159442745711,0.32110357192218614
2019-12-19,0.26254925159903786,0.08903432825838302,0.3272858423035821,0.32113057783899696
2019-12-20,0.2655829147493202,0.08858635670839712,0.3263260361263516,0.31950469241593105
2019-12-23,0.28557146114168125,0.09523486326861483,0.349786662886192,0.26940701270351197
2019-12-24,0.28308481246855616,0.09461845706809852,0.35523775410924685,0.26705897635409853
2019-12-25,0.28589441383326064,0.09453838224754922,0.3546720059984848,0.2648951979207053
2019-12-26,0.285653724961978,0.0951154337665045,0.3579839277438112,0.26124691352770624
2019-12-27,0.2868298405131515,0.0955054581284462,0.35718151660344827,0.26048318475495397
2019-12-30,0.2851944654675424,0.09539393229760555,0.35637530809625106,0.2630362941386009
2019-12-31,0.2831761940693258,0.09527965312152469,0.3608235773315318,0.26072057547761773
2020-01-02,0.284135980010843,0.09594834049359342,0.3599153173922761,0.26000036210328753
2020-01-03,0.2853188362902635,0.09782475041700153,0.35500192277840276,0.26185449051433235
2020-01-06,0.28873681351547575,0.09888399899139409,0.34872704350888795,0.2636521439842423
