date,RB,I,J,JM
2016-08-30,0.17872396515149605,0.22670924014686283,0.3704810026443857,0.2240857920572554
2016-08-31,0.1784397685324173,0.2285413604136443,0.3699658674097114,0.22305300364422706
2016-09-01,0.17723970154851734,0.23025758879642616,0.36988768468930405,0.22261502496575247
2016-09-02,0.17700327308071373,0.23283726841109575,0.37115247674833907,0.2190069817598514
2016-09-05,0.17621060649745401,0.23731505703362857,0.3696082976938451,0.21686603877507224
2016-09-06,0.17678699153153146,0.23782636548626487,0.3703643440492413,0.2150222989329624
2016-09-07,0.17716817088732348,0.24104980149241526,0.3711712040461937,0.2106108235740676
2016-09-08,0.17725269074234548,0.24291173444323472,0.36990689238709856,0.20992868242732118
2016-09-09,0.1772453655852362,0.2501113478322873,0.3709592949060182,0.20168399167645837
2016-09-12,0.17484161288509958,0.2621165889837794,0.36482058152747643,0.1982212166036447
2016-09-13,0.17473753090815736,0.2647033418701777,0.3634835490809463,0.19707557814071858
2016-09-14,0.17363714716308026,0.26866697846059123,0.3647358582914859,0.1929600160848427
2016-09-19,0.1742225850808396,0.26876218952987013,0.3648651145598643,0.19215011082942596
2016-09-20,0.17568968029934476,0.26829236347268953,0.3642272899518855,0.19179066627608007
2016-09-21,0.1776721930576319,0.26839886078830694,0.3643718681581095,0.18955707799595164
2016-09-22,0.17899590690791745,0.2691446007804156,0.36538426691899384,0.18647522539267303
2016-09-23,0.1791524959788073,0.2690827178196603,0.3653002560928996,0.18646453010863273
